timestamp,SP 2[RPM],PV 2[RPM]
01:38:26.692,0,0
01:38:26.743,0,0
01:38:26.746,0,0
01:38:26.764,0,0
01:38:26.775,0,0
01:38:26.787,0,0
01:38:26.813,0,0
01:38:26.835,0,0
01:38:26.838,0,0
01:38:26.847,0,0
01:38:26.850,0,0
01:38:26.857,0,0
01:38:26.865,0,0
01:38:26.870,0,0
01:38:26.886,0,0
01:38:26.894,0,0
01:38:26.895,0,0
01:38:26.935,0,0
01:38:26.948,0,0
01:38:26.955,0,0
01:38:26.970,0,0
01:38:26.983,0,0
01:38:27.014,0,0
01:38:27.016,0,0
01:38:27.023,0,0
01:38:27.034,0,0
01:38:27.075,0,0
01:38:27.080,0,0
01:38:27.086,0,0
01:38:27.087,0,0
01:38:27.106,0,0
01:38:27.107,0,0
01:38:27.116,0,0
01:38:27.127,0,0
01:38:27.130,0,0
01:38:27.145,0,0
01:38:27.153,0,0
01:38:27.155,0,0
01:38:27.156,0,0
01:38:27.166,0,0
01:38:27.190,0,0
01:38:27.207,0,0
01:38:27.222,0,0
01:38:27.230,0,0
01:38:27.255,0,0
01:38:27.261,0,0
01:38:27.269,0,0
01:38:27.269,0,0
01:38:27.285,0,0
01:38:27.290,0,0
01:38:27.299,0,0
01:38:27.300,0,0
01:38:27.304,0,0
01:38:27.314,0,0
01:38:27.320,0,0
01:38:27.340,0,0
01:38:27.341,0,0
01:38:27.350,0,0
01:38:27.373,0,0
01:38:27.383,0,0
01:38:27.402,0,0
01:38:27.430,0,0
01:38:27.450,0,0
01:38:27.470,0,0
01:38:27.487,0,0
01:38:27.510,0,0
01:38:27.530,0,0
01:38:27.546,0,0
01:38:27.573,0,0
01:38:27.588,0,0
01:38:27.604,0,0
01:38:27.606,0,0
01:38:27.642,0,0
01:38:27.649,0,0
01:38:27.654,0,0
01:38:27.654,0,0
01:38:27.660,0,0
01:38:27.663,0,0
01:38:27.667,0,0
01:38:27.677,0,0
01:38:27.696,0,0
01:38:27.710,0,0
01:38:27.730,0,0
01:38:27.732,0,0
01:38:27.734,0,0
01:38:27.735,0,0
01:38:27.744,0,0
01:38:27.747,0,0
01:38:27.770,0,0
01:38:27.774,0,0
01:38:27.774,0,0
01:38:27.810,0,0
01:38:27.820,0,0
01:38:27.828,0,0
01:38:27.830,0,0
01:38:27.850,0,0
01:38:27.860,0,0
01:38:27.873,0,0
01:38:27.874,0,0
01:38:27.880,0,0
01:38:27.894,0,0
01:38:27.916,0,0
01:38:27.922,0,0
01:38:27.930,0,0
01:38:27.956,0,0
01:38:27.964,0,0
01:38:27.968,0,0
01:38:27.983,0,0
01:38:28.007,0,0
01:38:28.009,0,0
01:38:28.017,0,0
01:38:28.023,0,0
01:38:28.023,0,0
01:38:28.033,0,0
01:38:28.037,0,0
01:38:28.040,0,0
01:38:28.054,0,0
01:38:28.054,0,0
01:38:28.067,0,0
01:38:28.072,0,0
01:38:28.100,0,0
01:38:28.110,0,0
01:38:28.111,0,0
01:38:28.116,0,0
01:38:28.132,0,0
01:38:28.134,0,0
01:38:28.136,0,0
01:38:28.140,0,0
01:38:28.151,0,0
01:38:28.152,0,0
01:38:28.152,0,0
01:38:28.170,0,0
01:38:28.177,0,0
01:38:28.193,0,0
01:38:28.211,0,0
01:38:28.221,0,0
01:38:28.248,0,0
01:38:28.260,0,0
01:38:28.262,0,0
01:38:28.270,0,0
01:38:28.291,0,0
01:38:28.301,0,0
01:38:28.302,0,0
01:38:28.305,0,0
01:38:28.312,0,0
01:38:28.318,0,0
01:38:28.322,0,0
01:38:28.324,0,0
01:38:28.334,0,0
01:38:28.422,0,0
01:38:28.435,0,0
01:38:28.437,0,0
01:38:28.468,0,0
01:38:28.469,0,0
01:38:28.476,0,0
01:38:28.476,0,0
01:38:28.479,0,0
01:38:28.490,0,0
01:38:28.492,0,0
01:38:28.511,0,0
01:38:28.516,0,0
01:38:28.519,0,0
01:38:28.522,0,0
01:38:28.532,0,0
01:38:28.551,0,0
01:38:28.576,0,0
01:38:28.577,0,0
01:38:28.582,0,0
01:38:28.594,0,0
01:38:28.598,0,0
01:38:28.607,0,0
01:38:28.608,0,0
01:38:28.611,0,0
01:38:28.618,0,0
01:38:28.619,0,0
01:38:28.623,0,0
01:38:28.633,0,0
01:38:28.637,0,0
01:38:28.646,0,0
01:38:28.647,0,0
01:38:28.650,0,0
01:38:28.661,0,0
01:38:28.670,0,0
01:38:28.681,0,0
01:38:28.688,0,0
01:38:28.695,0,0
01:38:28.698,0,0
01:38:28.731,0,0
01:38:28.749,0,0
01:38:28.752,0,0
01:38:28.770,0,0
01:38:28.772,0,0
01:38:28.773,0,0
01:38:28.775,0,0
01:38:28.782,0,0
01:38:28.796,0,0
01:38:28.801,0,0
01:38:28.802,0,0
01:38:28.809,0,0
01:38:28.814,0,0
01:38:28.815,0,0
01:38:28.825,0,0
01:38:28.831,0,0
01:38:28.838,0,0
01:38:28.850,0,0
01:38:28.852,0,0
01:38:28.857,0,0
01:38:28.870,0,0
01:38:28.871,0,0
01:38:28.886,0,0
01:38:28.891,0,0
01:38:28.908,0,0
01:38:28.912,0,0
01:38:28.914,0,0
01:38:28.915,0,0
01:38:28.922,0,0
01:38:28.932,0,0
01:38:28.938,0,0
01:38:28.949,0,0
01:38:28.962,0,0
01:38:28.979,0,0
01:38:28.991,0,0
01:38:29.001,0,0
01:38:29.001,0,0
01:38:29.014,0,0
01:38:29.014,0,0
01:38:29.030,0,0
01:38:29.032,0,0
01:38:29.050,0,0
01:38:29.052,0,0
01:38:29.056,0,0
01:38:29.070,0,0
01:38:29.085,0,0
01:38:29.100,0,0
01:38:29.113,0,0
01:38:29.120,0,0
01:38:29.128,0,0
01:38:29.137,0,0
01:38:29.150,0,0
01:38:29.167,0,0
01:38:29.180,0,0
01:38:29.201,0,0
01:38:29.203,0,0
01:38:29.220,0,0
01:38:29.232,0,0
01:38:29.234,0,0
01:38:29.239,0,0
01:38:29.243,0,0
01:38:29.245,0,0
01:38:29.255,0,0
01:38:29.262,0,0
01:38:29.271,0,0
01:38:29.274,0,0
01:38:29.283,0,0
01:38:29.289,0,0
01:38:29.297,0,0
01:38:29.312,0,0
01:38:29.331,0,0
01:38:29.350,0,0
01:38:29.360,0,0
01:38:29.364,0,0
01:38:29.370,0,0
01:38:29.390,0,0
01:38:29.391,0,0
01:38:29.398,0,0
01:38:29.401,0,0
01:38:29.413,0,0
01:38:29.414,0,0
01:38:29.444,0,0
01:38:29.448,0,0
01:38:29.461,0,0
01:38:29.485,0,0
01:38:29.498,0,0
01:38:29.513,0,0
01:38:29.517,0,0
01:38:29.527,0,0
01:38:29.535,0,0
01:38:29.536,0,0
01:38:29.540,0,0
01:38:29.548,0,0
01:38:29.550,0,0
01:38:29.552,0,0
01:38:29.565,0,0
01:38:29.567,0,0
01:38:29.574,0,0
01:38:29.583,0,0
01:38:29.588,0,0
01:38:29.603,0,0
01:38:29.605,0,0
01:38:29.608,0,0
01:38:29.615,0,0
01:38:29.626,0,0
01:38:29.630,0,0
01:38:29.630,0,0
01:38:29.644,0,0
01:38:29.646,0,0
01:38:29.661,0,0
01:38:29.673,0,0
01:38:29.675,0,0
01:38:29.688,0,0
01:38:29.693,0,0
01:38:29.698,0,0
01:38:29.710,0,0
01:38:29.719,0,0
01:38:29.731,0,0
01:38:29.744,0,0
01:38:29.750,0,0
01:38:29.752,0,0
01:38:29.770,0,0
01:38:29.771,0,0
01:38:29.772,0,0
01:38:29.780,0,0
01:38:29.784,0,0
01:38:29.796,0,0
01:38:29.800,0,0
01:38:29.805,0,0
01:38:29.806,0,0
01:38:29.807,0,0
01:38:29.829,0,0
01:38:29.830,0,0
01:38:29.835,0,0
01:38:29.857,0,0
01:38:29.860,0,0
01:38:29.866,0,0
01:38:29.880,0,0
01:38:29.881,0,0
01:38:29.888,0,0
01:38:29.900,0,0
01:38:29.901,0,0
01:38:29.902,0,0
01:38:29.913,0,0
01:38:29.922,0,0
01:38:29.927,0,0
01:38:29.936,0,0
01:38:29.954,0,0
01:38:29.962,0,0
01:38:29.971,0,0
01:38:29.994,0,0
01:38:30.003,0,0
01:38:30.003,0,0
01:38:30.007,0,0
01:38:30.020,0,0
01:38:30.023,0,0
01:38:30.032,0,0
01:38:30.032,0,0
01:38:30.034,0,0
01:38:30.044,0,0
01:38:30.044,0,0
01:38:30.047,0,0
01:38:30.060,0,0
01:38:30.062,0,0
01:38:30.065,0,0
01:38:30.072,0,0
01:38:30.077,0,0
01:38:30.087,0,0
01:38:30.098,0,0
01:38:30.102,0,0
01:38:30.110,0,0
01:38:30.119,0,0
01:38:30.157,0,0
01:38:30.163,0,0
01:38:30.179,0,0
01:38:30.189,0,0
01:38:30.203,0,0
01:38:30.210,0,0
01:38:30.222,0,0
01:38:30.228,0,0
01:38:30.242,0,0
01:38:30.242,0,0
01:38:30.243,0,0
