timestamp,[°] Acce X,[°] Acce Y,[°] Gyro X,[°] Gyro Y
22:22:38.83,-5.090652,-2.9446394,0,0
22:22:38.86,-5.1001534,-2.9501262,-0.0066049914,-0.0030484577
22:22:38.88,-5.102762,-3.005347,-0.009450547,-0.0011926581
22:22:38.91,-5.163373,-2.9985182,-0.012523748,-8.36E-04
22:22:38.93,-5.2024903,-2.9338605,-0.017244898,-4.80E-04
22:22:38.96,-5.238377,-2.9385107,-0.018617362,-1.37E-04
22:22:38.98,-5.2138753,-2.8888507,-0.018419407,-0.0012850319
22:22:39.01,-5.2524147,-2.9052105,-0.018204957,0.0022319139
22:22:39.04,-5.3318872,-2.9153442,-0.02410227,0.0025618344
22:22:39.06,-5.2980695,-2.9832098,-0.02388782,0.00607878
22:22:39.09,-5.261302,-2.9782426,-0.02552422,0.0064878818
22:22:39.12,-5.188024,-2.980098,-0.027055044,0.012180649
22:22:39.15,-5.231598,-3.0321467,-0.031776194,0.012536963
22:22:39.19,-5.15901,-3.0743253,-0.038245916,0.013025246
22:22:39.22,-5.154389,-3.161706,-0.05005869,0.01346074
22:22:39.25,-5.1463876,-3.1209247,-0.048257325,0.013803858
22:22:39.28,-5.1982713,-3.1448305,-0.04994651,0.018132407
22:22:39.30,-5.235415,-3.0533648,-0.051318973,0.021649353
22:22:39.32,-5.2648244,-3.0340736,-0.055340692,0.02335669
22:22:39.35,-5.2935476,-2.9676616,-0.05830007,0.026873635
22:22:39.38,-5.257918,-2.9120076,-0.056429423,0.030525848
22:22:39.40,-5.2830567,-2.8672712,-0.05927498,0.032381646
22:22:39.43,-5.249048,-2.9392812,-0.06234818,0.03438591
22:22:39.46,-5.290302,-3.0050204,-0.0655352,0.033046436
22:22:39.48,-5.304006,-2.9388127,-0.06240756,0.03336316
22:22:39.51,-5.2662935,-2.8889582,-0.066778995,0.036744837
22:22:39.53,-5.182278,-2.9031126,-0.0651162,0.041456092
22:22:39.56,-5.168948,-2.8604248,-0.068075575,0.043386124
22:22:39.58,-5.1580443,-2.8800368,-0.06348309,0.04809738
22:22:39.61,-5.202907,-2.8954744,-0.06644247,0.04526667
22:22:39.63,-5.23878,-2.9078174,-0.067762144,0.04559659
22:22:39.66,-5.155518,-2.9154606,-0.07248329,0.0459529
22:22:39.68,-5.201082,-2.870125,-0.07226884,0.049469847
22:22:39.71,-5.183767,-2.887773,-0.0751144,0.049799766
22:22:39.73,-5.174754,-2.9046063,-0.07784613,0.051581334
22:22:39.76,-5.220898,-2.9716153,-0.07306229,0.050385375
22:22:39.79,-5.2042103,-3.0255454,-0.07624932,0.050754886
22:22:39.82,-5.1911006,-3.0149152,-0.08486022,0.047597554
22:22:39.84,-5.244401,-2.9578407,-0.0878196,0.044766843
22:22:39.87,-5.2180595,-3.011849,-0.08587967,0.045136355
22:22:39.90,-5.1433144,-3.0552363,-0.08895287,0.045492668
22:22:39.92,-5.1914654,-2.981745,-0.09485018,0.044296708
22:22:39.95,-5.1808953,-2.979855,-0.09922162,0.046152506
22:22:39.97,-5.221245,-2.9753,-0.10206717,0.046482425
22:22:40.00,-5.199853,-2.9719138,-0.101844475,0.046838738
22:22:40.02,-5.2464557,-2.9206502,-0.10011239,0.051746294
22:22:40.05,-5.2788725,-2.8768294,-0.10148486,0.053676326
