22:25:15.406;[°/s]X,Y,Z;-0.11382222,0.013196826,0.119595885
22:25:15.467;[°/s]X,Y,Z;-0.35796285,0.1963023,-0.12454474
22:25:15.494;[°/s]X,Y,Z;0.008248091,0.13526714,-0.24661505
22:25:15.526;[°/s]X,Y,Z;-0.052787066,0.013196826,-0.06350958
22:25:15.564;[°/s]X,Y,Z;-0.23589253,-0.2309438,-0.12454474
22:25:15.596;[°/s]X,Y,Z;0.008248091,0.25733745,-0.06350958
22:25:15.630;[°/s]X,Y,Z;-0.23589253,0.07423198,0.30270135
22:25:15.653;[°/s]X,Y,Z;-0.17485738,0.013196826,-0.24661505
22:25:15.680;[°/s]X,Y,Z;0.1303184,-0.16990864,0.05856073
22:25:15.702;[°/s]X,Y,Z;-0.17485738,0.13526714,-0.0024744272
22:25:15.751;[°/s]X,Y,Z;-0.23589253,0.13526714,-0.12454474
22:25:15.767;[°/s]X,Y,Z;-0.35796285,0.013196826,-0.12454474
22:25:15.799;[°/s]X,Y,Z;-0.052787066,-0.04783833,-0.06350958
22:25:15.828;[°/s]X,Y,Z;-0.052787066,0.07423198,0.05856073
22:25:15.855;[°/s]X,Y,Z;-0.23589253,-0.04783833,-0.06350958
22:25:15.881;[°/s]X,Y,Z;-0.17485738,0.013196826,0.05856073
22:25:15.915;[°/s]X,Y,Z;0.008248091,0.07423198,-0.0024744272
22:25:15.949;[°/s]X,Y,Z;-0.11382222,-0.10887349,-0.1855799
22:25:15.978;[°/s]X,Y,Z;0.008248091,0.07423198,0.05856073
22:25:16.003;[°/s]X,Y,Z;-0.17485738,0.013196826,0.119595885
22:25:16.035;[°/s]X,Y,Z;-0.11382222,0.07423198,0.18063104
22:25:16.063;[°/s]X,Y,Z;-0.11382222,-0.04783833,-0.3076502
22:25:16.099;[°/s]X,Y,Z;-0.11382222,-0.10887349,-0.06350958
22:25:16.134;[°/s]X,Y,Z;-0.052787066,0.013196826,-0.1855799
22:25:16.164;[°/s]X,Y,Z;0.06928325,0.13526714,-0.12454474
22:25:16.199;[°/s]X,Y,Z;-0.23589253,0.07423198,-0.06350958
22:25:16.230;[°/s]X,Y,Z;-0.052787066,0.013196826,-0.12454474
22:25:16.265;[°/s]X,Y,Z;0.008248091,-0.10887349,0.18063104
22:25:16.299;[°/s]X,Y,Z;-0.17485738,-0.16990864,0.119595885
22:25:16.331;[°/s]X,Y,Z;-0.052787066,0.013196826,-0.0024744272
22:25:16.376;[°/s]X,Y,Z;-0.23589253,0.07423198,-0.0024744272
22:25:16.419;[°/s]X,Y,Z;-0.17485738,0.013196826,-0.12454474
22:25:16.450;[°/s]X,Y,Z;-0.11382222,0.013196826,-0.0024744272
22:25:16.487;[°/s]X,Y,Z;-0.052787066,0.13526714,0.05856073
22:25:16.568;[°/s]X,Y,Z;0.008248091,0.13526714,-0.1855799
22:25:16.668;[°/s]X,Y,Z;-0.17485738,0.13526714,-0.12454474
22:25:16.716;[°/s]X,Y,Z;-0.11382222,0.013196826,-0.1855799
22:25:16.736;[°/s]X,Y,Z;0.008248091,0.07423198,-0.1855799
22:25:16.767;[°/s]X,Y,Z;-0.052787066,-0.10887349,0.05856073
22:25:16.798;[°/s]X,Y,Z;-0.052787066,0.13526714,0.05856073
22:25:16.816;[°/s]X,Y,Z;-0.052787066,0.07423198,-0.0024744272
22:25:16.849;[°/s]X,Y,Z;0.008248091,0.13526714,-0.06350958
22:25:16.867;[°/s]X,Y,Z;-0.052787066,0.1963023,-0.06350958
22:25:16.900;[°/s]X,Y,Z;-0.17485738,0.13526714,-0.12454474
22:25:16.917;[°/s]X,Y,Z;-0.11382222,0.07423198,-0.1855799
22:25:16.950;[°/s]X,Y,Z;0.008248091,0.07423198,-0.06350958
22:25:16.981;[°/s]X,Y,Z;-0.17485738,0.13526714,-0.12454474
22:25:17.001;[°/s]X,Y,Z;0.008248091,0.013196826,0.119595885
22:25:17.028;[°/s]X,Y,Z;-0.052787066,-0.04783833,-0.06350958
22:25:17.050;[°/s]X,Y,Z;-0.17485738,0.1963023,-0.12454474
22:25:17.082;[°/s]X,Y,Z;0.008248091,0.013196826,0.05856073
22:25:17.100;[°/s]X,Y,Z;-0.11382222,0.13526714,-0.0024744272
22:25:17.131;[°/s]X,Y,Z;-0.23589253,0.07423198,-0.06350958
22:25:17.151;[°/s]X,Y,Z;-0.052787066,0.13526714,-0.06350958
22:25:17.181;[°/s]X,Y,Z;-0.052787066,-0.16990864,0.119595885
22:25:17.202;[°/s]X,Y,Z;-0.11382222,0.1963023,-0.06350958
22:25:17.230;[°/s]X,Y,Z;-0.11382222,0.25733745,0.05856073
22:25:17.266;[°/s]X,Y,Z;-0.052787066,-0.2309438,0.05856073
22:25:17.300;[°/s]X,Y,Z;-0.17485738,-0.29197896,0.05856073
22:25:17.333;[°/s]X,Y,Z;-0.11382222,0.13526714,-0.1855799
22:25:17.366;[°/s]X,Y,Z;-0.17485738,-0.04783833,-0.0024744272
22:25:17.384;[°/s]X,Y,Z;-0.17485738,0.13526714,0.2416662
22:25:17.415;[°/s]X,Y,Z;-0.11382222,0.07423198,-0.0024744272
22:25:17.448;[°/s]X,Y,Z;-0.23589253,0.37940776,0.05856073
22:25:17.482;[°/s]X,Y,Z;-0.17485738,0.1963023,0.05856073
22:25:17.516;[°/s]X,Y,Z;-0.11382222,-0.10887349,0.119595885
22:25:17.537;[°/s]X,Y,Z;-0.11382222,0.13526714,-0.0024744272
22:25:17.567;[°/s]X,Y,Z;-0.11382222,0.25733745,-0.12454474
22:25:17.611;[°/s]X,Y,Z;-0.17485738,0.013196826,0.05856073
22:25:17.631;[°/s]X,Y,Z;-0.052787066,-0.10887349,-0.06350958
22:25:17.666;[°/s]X,Y,Z;-0.11382222,0.013196826,-0.06350958
22:25:17.696;[°/s]X,Y,Z;-0.052787066,0.13526714,-0.24661505
22:25:17.720;[°/s]X,Y,Z;0.008248091,0.07423198,-0.06350958
22:25:17.747;[°/s]X,Y,Z;-0.23589253,0.07423198,-0.0024744272
22:25:17.777;[°/s]X,Y,Z;0.008248091,0.013196826,-0.06350958
22:25:17.800;[°/s]X,Y,Z;0.008248091,0.3183726,0.18063104
