timestamp,[°] X,[°] Acce X,[°] Gyro X
22:22:38.83,-0.101812944,-5.090652,0
22:22:38.86,-0.2639719,-5.1001534,-0.0066049914
22:22:38.88,-0.41911256,-5.102762,-0.009450547
22:22:38.91,-0.56591725,-5.163373,-0.012523748
22:22:38.93,-0.71061206,-5.2024903,-0.017244898
22:22:38.96,-0.8457457,-5.238377,-0.018617362
22:22:38.98,-0.97360283,-5.2138753,-0.018419407
22:22:39.01,-1.0976104,-5.2524147,-0.018204957
22:22:39.04,-1.2201264,-5.3318872,-0.02410227
22:22:39.06,-1.3343843,-5.2980695,-0.02388782
22:22:39.09,-1.4434656,-5.261302,-0.02552422
22:22:39.12,-1.5495455,-5.188024,-0.027055044
22:22:39.15,-1.6503848,-5.231598,-0.031776194
22:22:39.19,-1.7536377,-5.15901,-0.038245916
22:22:39.22,-1.8586458,-5.154389,-0.05005869
22:22:39.25,-1.947757,-5.1463876,-0.048257325
22:22:39.28,-2.0370872,-5.1982713,-0.04994651
22:22:39.30,-2.1199534,-5.235415,-0.051318973
22:22:39.32,-2.2017093,-5.2648244,-0.055340692
22:22:39.35,-2.281121,-5.2935476,-0.05830007
22:22:39.38,-2.3489022,-5.257918,-0.056429423
22:22:39.40,-2.4179034,-5.2830567,-0.05927498
22:22:39.43,-2.4845634,-5.249048,-0.06234818
22:22:39.46,-2.5507889,-5.290302,-0.0655352
22:22:39.48,-2.6129775,-5.304006,-0.06240756
22:22:39.51,-2.6764097,-5.2662935,-0.066778995
22:22:39.53,-2.7258158,-5.182278,-0.0651162
22:22:39.56,-2.776529,-5.168948,-0.068075575
22:22:39.58,-2.8194497,-5.1580443,-0.06348309
22:22:39.61,-2.866682,-5.202907,-0.06644247
22:22:39.63,-2.9187002,-5.23878,-0.067762144
22:22:39.66,-2.967533,-5.155518,-0.07248329
22:22:39.68,-3.010631,-5.201082,-0.07226884
22:22:39.71,-3.0507505,-5.183767,-0.0751144
22:22:39.73,-3.0923963,-5.174754,-0.07784613
22:22:39.76,-3.1248865,-5.220898,-0.07306229
22:22:39.79,-3.1677403,-5.2042103,-0.07624932
22:22:39.82,-3.2135046,-5.1911006,-0.08486022
22:22:39.84,-3.2561626,-5.244401,-0.0878196
22:22:39.87,-3.2903707,-5.2180595,-0.08587967
22:22:39.90,-3.3246274,-5.1433144,-0.08895287
22:22:39.92,-3.3621213,-5.1914654,-0.09485018
22:22:39.95,-3.3964741,-5.1808953,-0.09922162
22:22:39.97,-3.4258099,-5.221245,-0.10206717
22:22:40.00,-3.4519255,-5.199853,-0.101844475
22:22:40.02,-3.4763684,-5.2464557,-0.10011239
22:22:40.05,-3.4981585,-5.2788725,-0.10148486
22:22:40.08,-3.522776,-5.240983,-0.105354816
22:22:40.11,-3.5439262,-5.2202854,-0.1033456
22:22:40.14,-3.567938,-5.267278,-0.10471807
22:22:40.16,-3.5897753,-5.300293,-0.10756362
22:22:40.19,-3.6173677,-5.3169956,-0.11528374
22:22:40.21,-3.6339753,-5.281051,-0.11508579
22:22:40.24,-3.6548321,-5.301341,-0.118045166
22:22:40.27,-3.6692832,-5.2737637,-0.114787206
22:22:40.29,-3.6873288,-5.183179,-0.11610688
22:22:40.31,-3.7069733,-5.169151,-0.1217683
22:22:40.35,-3.7294457,-5.1584506,-0.12597972
22:22:40.37,-3.7475119,-5.208396,-0.13000144
22:22:40.41,-3.7651753,-5.189576,-0.13559687
22:22:40.43,-3.7825782,-5.2379727,-0.13867007
22:22:40.47,-3.790503,-5.1597676,-0.13596803
22:22:40.51,-3.7956991,-5.204351,-0.13568759
22:22:40.53,-3.8004212,-5.239977,-0.13548964
22:22:40.56,-3.8033402,-5.209962,-0.13210136
22:22:40.59,-3.8158402,-5.249578,-0.13182917
22:22:40.61,-3.8286266,-5.2808127,-0.1362006
22:22:40.64,-3.8374348,-5.2472415,-0.13268201
22:22:40.67,-3.8493953,-5.2789373,-0.13410726
22:22:40.70,-3.8637688,-5.245996,-0.13820486
22:22:40.73,-3.8765736,-5.2242937,-0.14275116
22:22:40.76,-3.8911114,-5.255657,-0.14582436
22:22:40.78,-3.903605,-5.2322907,-0.14889756
