timestamp,[µT] Direção,[RPM] 1,[RPM] 2,[RPM] 3,[RPM] 4
18:36:57.847,221.03053,0,0,0,0
18:36:57.859,221.01933,0,0,0,0
18:36:57.883,221.01039,0,0,0,0
18:36:57.907,220.99187,0,0,0,0
18:36:57.931,220.97707,0,0,0,0
18:36:57.957,220.96521,0,0,0,0
18:36:57.981,220.96712,0,0,0,0
18:36:58.005,220.96863,0,0,0,0
18:36:58.036,220.96985,0,0,0,0
18:36:58.059,220.97081,0,0,0,0
18:36:58.082,220.97159,0,0,0,0
18:36:58.110,220.96085,0,0,0,0
18:36:58.135,220.95224,0,0,0,0
18:36:58.163,220.94536,0,0,0,0
18:36:58.191,220.93985,0,0,0,0
18:36:58.218,220.93544,0,0,0,0
18:36:58.245,220.9433,0,0,0,0
18:36:58.272,220.94958,0,0,0,0
18:36:58.298,220.9546,0,0,0,0
18:36:58.324,220.98114,0,0,0,0
18:36:58.351,221.00235,0,0,0,0
18:36:58.384,221.00816,0,0,0,0
18:36:58.411,221.01282,0,0,0,0
18:36:58.436,220.99385,0,0,0,0
18:36:58.460,220.97865,0,0,0,0
18:36:58.484,220.9665,0,0,0,0
18:36:58.513,220.96814,0,0,0,0
18:36:58.538,220.96945,0,0,0,0
18:36:58.565,220.9705,0,0,0,0
18:36:58.590,220.97134,0,0,0,0
18:36:58.618,220.97202,0,0,0,0
18:36:58.646,220.97255,0,0,0,0
18:36:58.674,220.97298,0,0,0,0
18:36:58.701,221.00716,0,0,0,0
18:36:58.739,221.0345,0,0,0,0
18:36:58.764,221.05637,0,0,0,0
18:36:58.792,221.06253,0,0,0,0
18:36:58.872,221.05615,0,0,0,0
18:36:58.898,221.05104,0,0,0,0
18:36:58.923,221.03575,0,0,0,0
18:36:58.950,221.02353,0,0,0,0
18:36:58.976,221.03627,0,0,0,0
18:36:59.002,221.04646,0,0,0,0
18:36:59.037,221.0321,0,0,0,0
18:36:59.062,221.02061,0,0,0,0
18:36:59.088,221.01143,0,0,0,0
18:36:59.115,221.02658,0,0,0,0
18:36:59.142,221.03871,0,0,0,0
18:36:59.168,221.01456,0,0,0,0
18:36:59.196,220.99522,0,0,0,0
18:36:59.220,220.97975,0,0,0,0
18:36:59.244,221.00125,0,0,0,0
18:36:59.268,221.01846,0,0,0,0
18:36:59.293,221.03221,0,0,0,0
18:36:59.318,221.00935,0,0,0,0
18:36:59.341,220.99104,0,0,0,0
18:36:59.365,220.97641,0,0,0,0
18:36:59.389,220.96469,0,0,0,0
18:36:59.413,220.9553,0,0,0,0
18:36:59.451,220.9592,0,0,0,0
18:36:59.479,220.9623,0,0,0,0
18:36:59.504,220.94228,0,0,0,0
18:36:59.532,220.92627,0,0,0,0
18:36:59.559,220.91347,0,0,0,0
18:36:59.585,220.92572,0,0,0,0
18:36:59.613,220.93552,0,0,0,0
18:36:59.641,220.94334,0,0,0,0
18:36:59.668,220.94962,0,0,0,0
18:36:59.695,220.94327,0,0,0,0
18:36:59.723,220.93819,0,0,0,0
18:36:59.753,220.93411,0,0,0,0
18:36:59.784,220.94223,0,0,0,0
18:36:59.810,220.94873,0,0,0,0
18:36:59.839,220.96506,0,0,0,0
18:36:59.877,220.97813,0,0,0,0
18:36:59.906,220.99997,0,0,0,0
18:36:59.933,221.01743,0,0,0,0
18:36:59.967,221.00887,0,0,0,0
18:36:59.991,221.00203,0,0,0,0
18:37:00.015,220.99655,0,0,0,0
18:37:00.051,220.96945,0,0,0,0
18:37:00.078,220.94774,0,0,0,0
18:37:00.105,220.98703,0,0,0,0
18:37:00.136,221.01843,0,0,0,0
18:37:00.168,220.98718,0,0,0,0
18:37:00.196,220.96219,0,0,0,0
18:37:00.224,220.9422,0,0,0,0
18:37:00.253,220.92622,0,0,0,0
18:37:00.281,220.91344,0,0,0,0
18:37:00.310,220.90292,0,0,0,0
18:37:00.341,220.8945,0,0,0,0
18:37:00.370,220.91055,0,0,0,0
18:37:00.407,220.92339,0,0,0,0
18:37:00.446,220.93365,0,0,0,0
18:37:00.483,220.94186,0,0,0,0
18:37:00.516,220.93706,0,0,0,0
18:37:00.547,220.93321,0,0,0,0
18:37:00.570,220.93013,0,0,0,0
18:37:00.603,220.92767,0,0,0,0
18:37:00.632,220.93709,0,0,0,0
18:37:00.666,220.94461,0,0,0,0
18:37:00.700,220.97314,0,0,0,0
18:37:00.733,220.99596,0,0,0,0
18:37:00.764,220.9692,0,0,0,0
18:37:00.795,220.9478,0,0,0,0
18:37:00.825,220.96454,0,0,0,0
18:37:00.856,220.97792,0,0,0,0
18:37:00.887,220.97728,0,0,0,0
18:37:00.917,220.97676,0,0,0,0
18:37:00.948,220.97635,0,0,0,0
18:37:00.976,220.96466,0,0,0,0
18:37:01.005,220.9553,0,0,0,0
18:37:01.040,220.95918,0,0,0,0
18:37:01.070,220.96228,0,0,0,0
18:37:01.102,220.94228,0,0,0,0
18:37:01.133,220.92628,0,0,0,0
18:37:01.163,220.91348,0,0,0,0
18:37:01.195,220.90324,0,0,0,0
