timestamp, distanceCentimeters
16-06-29 23:48:02.057,18.248648
16-06-29 23:48:02.150,18.247567
16-06-29 23:48:02.225,18.248648
16-06-29 23:48:02.294,18.249727
16-06-29 23:48:02.360,18.250808
16-06-29 23:48:02.428,18.249727
16-06-29 23:48:02.504,18.249727
16-06-29 23:48:02.573,18.248648
16-06-29 23:48:02.643,18.249727
16-06-29 23:48:02.711,18.249727
16-06-29 23:48:02.784,18.250808
16-06-29 23:48:02.884,18.249727
16-06-29 23:48:02.954,18.249727
16-06-29 23:48:03.022,18.250808
16-06-29 23:48:03.090,18.251888
16-06-29 23:48:03.159,18.249727
16-06-29 23:48:03.226,18.249727
16-06-29 23:48:03.291,18.250808
16-06-29 23:48:03.389,18.249727
16-06-29 23:48:03.457,18.247567
16-06-29 23:48:03.525,18.250808
16-06-29 23:48:03.588,18.250808
16-06-29 23:48:03.663,18.248648
16-06-29 23:48:03.729,18.249727
16-06-29 23:48:03.825,18.249727
16-06-29 23:48:03.905,18.248648
16-06-29 23:48:03.942,18.250808
16-06-29 23:48:04.043,18.248648
16-06-29 23:48:04.112,18.249727
16-06-29 23:48:04.181,18.249727
16-06-29 23:48:04.248,18.250808
16-06-29 23:48:04.315,18.249727
16-06-29 23:48:04.382,18.250808
16-06-29 23:48:04.451,18.249727
16-06-29 23:48:04.525,18.248648
16-06-29 23:48:04.629,18.250808
16-06-29 23:48:04.671,18.249727
16-06-29 23:48:04.740,18.250808
16-06-29 23:48:04.839,18.249727
16-06-29 23:48:04.908,18.250808
16-06-29 23:48:04.986,18.250808
16-06-29 23:48:05.061,18.248648
16-06-29 23:48:05.135,18.248648
16-06-29 23:48:05.179,18.249727
16-06-29 23:48:05.251,18.249727
16-06-29 23:48:05.331,18.249727
16-06-29 23:48:05.408,18.250808
16-06-29 23:48:05.484,18.249727
16-06-29 23:48:05.561,18.249727
16-06-29 23:48:05.646,18.249727
16-06-29 23:48:05.687,18.250808
16-06-29 23:48:05.760,18.249727
16-06-29 23:48:05.834,18.249727
16-06-29 23:48:05.907,18.247567
16-06-29 23:48:05.977,18.250808
16-06-29 23:48:06.049,18.250808
16-06-29 23:48:06.119,18.251888
16-06-29 23:48:06.189,18.249727
16-06-29 23:48:06.287,18.249727
16-06-29 23:48:06.356,18.250808
16-06-29 23:48:06.425,18.249727
16-06-29 23:48:06.493,18.248648
16-06-29 23:48:06.561,18.248648
16-06-29 23:48:06.629,18.249727
16-06-29 23:48:06.734,18.249727
16-06-29 23:48:06.813,18.248648
16-06-29 23:48:06.882,18.248648
16-06-29 23:48:06.951,18.249727
16-06-29 23:48:07.023,18.247567
16-06-29 23:48:07.092,18.249727
16-06-29 23:48:07.164,18.251888
16-06-29 23:48:07.234,18.250808
16-06-29 23:48:07.305,18.249727
16-06-29 23:48:07.375,18.249727
16-06-29 23:48:07.445,18.250808
16-06-29 23:48:07.520,18.249727
16-06-29 23:48:07.596,18.248648
16-06-29 23:48:07.676,18.248648
16-06-29 23:48:07.747,18.248648
16-06-29 23:48:07.816,18.250808
16-06-29 23:48:07.888,18.249727
16-06-29 23:48:07.958,18.250808
16-06-29 23:48:08.029,18.249727
16-06-29 23:48:08.100,18.251888
16-06-29 23:48:08.174,18.249727
16-06-29 23:48:08.245,18.248648
16-06-29 23:48:08.317,18.249727
16-06-29 23:48:08.389,18.250808
16-06-29 23:48:08.460,18.249727
16-06-29 23:48:08.534,18.250808
16-06-29 23:48:08.607,18.248648
16-06-29 23:48:08.684,18.250808
16-06-29 23:48:08.759,18.249727
16-06-29 23:48:08.833,18.249727
16-06-29 23:48:08.911,18.249727
16-06-29 23:48:08.984,18.249727
16-06-29 23:48:09.059,18.248648
16-06-29 23:48:09.133,18.248648
16-06-29 23:48:09.206,18.250808
16-06-29 23:48:09.280,18.250808
16-06-29 23:48:09.324,18.249727
16-06-29 23:48:09.405,18.250808
16-06-29 23:48:09.483,18.249727
16-06-29 23:48:09.566,18.249727
16-06-29 23:48:09.646,18.250808
16-06-29 23:48:09.694,18.250808
16-06-29 23:48:09.768,18.249727
16-06-29 23:48:09.861,18.250808
16-06-29 23:48:09.929,18.248648
16-06-29 23:48:10.007,18.250808
16-06-29 23:48:10.088,18.249727
16-06-29 23:48:10.136,18.250808
16-06-29 23:48:10.220,18.249727
16-06-29 23:48:10.299,18.249727
16-06-29 23:48:10.378,18.249727
16-06-29 23:48:10.425,18.249727
16-06-29 23:48:10.503,18.249727
16-06-29 23:48:10.581,18.250808
16-06-29 23:48:10.661,18.250808
16-06-29 23:48:10.734,18.249727
16-06-29 23:48:10.812,18.248648
16-06-29 23:48:10.858,18.249727
16-06-29 23:48:10.937,18.248648
16-06-29 23:48:11.016,18.249727
16-06-29 23:48:11.092,18.252968
16-06-29 23:48:11.168,18.250808
16-06-29 23:48:11.242,18.249727
16-06-29 23:48:11.316,18.249727
16-06-29 23:48:11.390,18.249727
16-06-29 23:48:11.435,18.249727
16-06-29 23:48:11.509,18.249727
16-06-29 23:48:11.583,18.249727
16-06-29 23:48:11.662,18.248648
16-06-29 23:48:11.736,18.251888
16-06-29 23:48:11.809,18.249727
16-06-29 23:48:11.883,18.250808
16-06-29 23:48:11.955,18.249727
16-06-29 23:48:12.030,18.250808
16-06-29 23:48:12.106,18.250808
16-06-29 23:48:12.181,18.250808
16-06-29 23:48:12.292,18.250808
16-06-29 23:48:12.342,18.249727
16-06-29 23:48:12.416,18.250808
16-06-29 23:48:12.461,18.250808
16-06-29 23:48:12.538,18.249727
16-06-29 23:48:12.615,18.251888
16-06-29 23:48:12.693,18.249727
16-06-29 23:48:12.769,18.250808
16-06-29 23:48:12.840,18.251888
16-06-29 23:48:12.916,18.250808
16-06-29 23:48:12.994,18.250808
16-06-29 23:48:13.042,18.249727
16-06-29 23:48:13.119,18.250808
16-06-29 23:48:13.198,18.250808
16-06-29 23:48:13.276,18.249727
16-06-29 23:48:13.351,18.250808
16-06-29 23:48:13.429,18.250808
16-06-29 23:48:13.476,18.248648
16-06-29 23:48:13.554,18.249727
16-06-29 23:48:13.632,18.249727
16-06-29 23:48:13.710,18.250808
16-06-29 23:48:13.781,18.249727
16-06-29 23:48:13.855,18.250808
16-06-29 23:48:13.929,18.250808
16-06-29 23:48:14.007,18.249727
16-06-29 23:48:14.055,18.250808
16-06-29 23:48:14.133,18.249727
16-06-29 23:48:14.211,18.249727
16-06-29 23:48:14.336,18.250808
16-06-29 23:48:14.379,18.252968
16-06-29 23:48:14.457,18.251888
16-06-29 23:48:14.530,18.249727
16-06-29 23:48:14.607,18.250808
16-06-29 23:48:14.655,18.250808
16-06-29 23:48:14.735,18.249727
16-06-29 23:48:14.812,18.249727
16-06-29 23:48:14.888,18.249727
16-06-29 23:48:14.960,18.250808
16-06-29 23:48:15.036,18.249727
16-06-29 23:48:15.113,18.250808
16-06-29 23:48:15.190,18.249727
16-06-29 23:48:15.238,18.248648
16-06-29 23:48:15.314,18.250808
16-06-29 23:48:15.391,18.249727
16-06-29 23:48:15.470,18.249727
16-06-29 23:48:15.542,18.249727
16-06-29 23:48:15.619,18.250808
16-06-29 23:48:15.676,18.250808
16-06-29 23:48:15.752,18.250808
16-06-29 23:48:15.829,18.250808
