timestamp, xMetersPerSecSquared, yMetersPerSecSquared, zMetersPerSecSquared
16-07-21 14:46:49.674,0.7661445, -0.4213795, 8.925584
16-07-21 14:46:49.744,0.6895301, -0.4213795, 8.887277
16-07-21 14:46:49.820,0.7661445, -0.45968673, 8.887277
16-07-21 14:46:49.896,0.7278373, -0.4213795, 8.963891
16-07-21 14:46:49.961,0.7661445, -0.38307226, 8.963891
16-07-21 14:46:50.044,0.7278373, -0.38307226, 8.925584
16-07-21 14:46:50.110,0.80445176, -0.45968673, 8.925584
16-07-21 14:46:50.184,0.7278373, -0.4213795, 8.925584
16-07-21 14:46:50.256,0.7661445, -0.45968673, 9.002198
16-07-21 14:46:50.358,0.7661445, -0.45968673, 8.925584
16-07-21 14:46:50.432,0.80445176, -0.4213795, 8.963891
16-07-21 14:46:50.491,0.7661445, -0.45968673, 9.002198
16-07-21 14:46:50.561,0.7661445, -0.45968673, 8.963891
16-07-21 14:46:50.638,0.7661445, -0.4213795, 9.002198
16-07-21 14:46:50.716,0.7278373, -0.45968673, 8.925584
16-07-21 14:46:50.792,0.7661445, -0.45968673, 8.963891
16-07-21 14:46:50.864,0.7278373, -0.38307226, 8.963891
16-07-21 14:46:50.939,0.6895301, -0.4213795, 8.925584
16-07-21 14:46:51.045,0.7661445, -0.4213795, 8.925584
16-07-21 14:46:51.102,0.7661445, -0.45968673, 8.963891
16-07-21 14:46:51.169,0.6895301, -0.4213795, 8.925584
16-07-21 14:46:51.255,0.7278373, -0.4213795, 8.887277
16-07-21 14:46:51.327,0.6895301, -0.45968673, 8.963891
16-07-21 14:46:51.393,0.80445176, -0.45968673, 9.002198
16-07-21 14:46:51.476,0.7661445, -0.49799395, 8.887277
16-07-21 14:46:51.534,0.6895301, -0.4213795, 8.963891
16-07-21 14:46:51.620,0.7661445, -0.4213795, 8.925584
16-07-21 14:46:51.700,0.7661445, -0.45968673, 8.925584
16-07-21 14:46:51.765,0.7278373, -0.45968673, 8.963891
16-07-21 14:46:51.847,0.7661445, -0.38307226, 9.002198
16-07-21 14:46:51.912,0.7661445, -0.4213795, 8.925584
16-07-21 14:46:51.996,0.7661445, -0.4213795, 8.887277
16-07-21 14:46:52.059,0.7661445, -0.45968673, 8.963891
16-07-21 14:46:52.134,0.7661445, -0.45968673, 8.925584
16-07-21 14:46:52.202,0.7661445, -0.45968673, 8.963891
16-07-21 14:46:52.270,0.80445176, -0.45968673, 8.925584
16-07-21 14:46:52.349,0.842759, -0.45968673, 9.078813
16-07-21 14:46:52.416,0.80445176, -0.4213795, 8.925584
16-07-21 14:46:52.493,0.7278373, -0.45968673, 8.887277
16-07-21 14:46:52.569,0.7278373, -0.45968673, 8.963891
16-07-21 14:46:52.648,0.7278373, -0.45968673, 8.963891
16-07-21 14:46:52.723,0.7278373, -0.45968673, 8.887277
16-07-21 14:46:52.800,0.80445176, -0.45968673, 8.963891
16-07-21 14:46:52.865,0.842759, -0.4213795, 8.925584
16-07-21 14:46:52.934,0.7278373, -0.4213795, 8.925584
16-07-21 14:46:53.021,0.6512229, -0.45968673, 8.963891
16-07-21 14:46:53.085,0.7661445, -0.49799395, 8.963891
16-07-21 14:46:53.199,0.6895301, -0.38307226, 8.963891
16-07-21 14:46:53.276,0.7278373, -0.4213795, 8.925584
16-07-21 14:46:53.353,0.80445176, -0.38307226, 9.040505
16-07-21 14:46:53.413,0.842759, -0.49799395, 8.963891
16-07-21 14:46:53.488,0.7278373, -0.4213795, 8.925584
16-07-21 14:46:53.561,0.7278373, -0.4213795, 8.887277
16-07-21 14:46:53.653,0.7278373, -0.45968673, 8.887277
16-07-21 14:46:53.712,0.80445176, -0.45968673, 8.963891
16-07-21 14:46:53.787,0.7661445, -0.38307226, 8.925584
16-07-21 14:46:53.859,0.7661445, -0.45968673, 9.002198
16-07-21 14:46:53.938,0.6895301, -0.45968673, 9.002198
16-07-21 14:46:54.017,0.6895301, -0.4213795, 8.925584
16-07-21 14:46:54.119,0.7278373, -0.38307226, 9.002198
16-07-21 14:46:54.188,0.7661445, -0.45968673, 9.002198
16-07-21 14:46:54.247,0.80445176, -0.45968673, 8.963891
16-07-21 14:46:54.324,0.7278373, -0.4213795, 8.963891
16-07-21 14:46:54.403,0.7278373, -0.45968673, 9.002198
16-07-21 14:46:54.474,0.80445176, -0.45968673, 8.925584
16-07-21 14:46:54.589,0.7661445, -0.4213795, 8.925584
16-07-21 14:46:54.654,0.7278373, -0.38307226, 8.925584
16-07-21 14:46:54.714,0.7661445, -0.45968673, 8.925584
16-07-21 14:46:54.778,0.842759, -0.45968673, 9.040505
16-07-21 14:46:54.861,0.7278373, -0.45968673, 8.925584
16-07-21 14:46:54.929,0.7278373, -0.45968673, 8.925584
16-07-21 14:46:55.024,0.7278373, -0.45968673, 8.925584
16-07-21 14:46:55.106,0.7661445, -0.49799395, 8.963891
16-07-21 14:46:55.163,0.7661445, -0.4213795, 8.963891
16-07-21 14:46:55.254,0.7661445, -0.45968673, 9.002198
16-07-21 14:46:55.310,0.7278373, -0.49799395, 8.963891
16-07-21 14:46:55.375,0.80445176, -0.45968673, 9.040505
16-07-21 14:46:55.466,0.7661445, -0.45968673, 8.925584
16-07-21 14:46:55.523,0.7661445, -0.38307226, 8.963891
16-07-21 14:46:55.606,0.7661445, -0.45968673, 8.925584
16-07-21 14:46:55.686,0.7278373, -0.49799395, 8.963891
16-07-21 14:46:55.765,0.80445176, -0.45968673, 8.963891
16-07-21 14:46:55.835,0.7661445, -0.4213795, 8.963891
16-07-21 14:46:55.950,0.7278373, -0.45968673, 8.925584
16-07-21 14:46:56.010,0.80445176, -0.45968673, 8.887277
16-07-21 14:46:56.084,0.842759, -0.4213795, 8.925584
16-07-21 14:46:56.156,0.7661445, -0.4213795, 8.963891
16-07-21 14:46:56.233,0.7661445, -0.45968673, 9.002198
16-07-21 14:46:56.316,0.7661445, -0.4213795, 8.963891
16-07-21 14:46:56.405,0.7278373, -0.38307226, 8.963891
16-07-21 14:46:56.489,0.7661445, -0.4213795, 8.925584
16-07-21 14:46:56.557,0.7278373, -0.4213795, 8.887277
16-07-21 14:46:56.630,0.7661445, -0.38307226, 8.887277
16-07-21 14:46:56.704,0.7661445, -0.45968673, 8.963891
16-07-21 14:46:56.838,0.7661445, -0.4213795, 8.925584
16-07-21 14:46:56.840,0.80445176, -0.45968673, 8.963891
16-07-21 14:46:56.932,0.80445176, -0.45968673, 8.963891
16-07-21 14:46:56.996,0.7661445, -0.4213795, 8.963891
16-07-21 14:46:57.065,0.7661445, -0.45968673, 8.963891
16-07-21 14:46:57.142,0.7661445, -0.4213795, 8.887277
16-07-21 14:46:57.247,0.7661445, -0.4213795, 8.963891
16-07-21 14:46:57.305,0.7661445, -0.4213795, 9.002198
16-07-21 14:46:57.371,0.6895301, -0.4213795, 8.925584
16-07-21 14:46:57.447,0.7661445, -0.45968673, 8.925584
16-07-21 14:46:57.511,0.7278373, -0.4213795, 8.925584
16-07-21 14:46:57.618,0.7661445, -0.45968673, 9.002198
16-07-21 14:46:57.698,0.6895301, -0.34476504, 8.925584
16-07-21 14:46:57.764,0.7661445, -0.4213795, 8.963891
16-07-21 14:46:57.830,0.7278373, -0.45968673, 8.887277
16-07-21 14:46:57.906,0.7278373, -0.38307226, 8.887277
16-07-21 14:46:58.017,0.7278373, -0.4213795, 8.887277
16-07-21 14:46:58.109,0.6895301, -0.4213795, 9.002198
16-07-21 14:46:58.161,0.7661445, -0.4213795, 8.963891
16-07-21 14:46:58.224,0.7661445, -0.4213795, 9.002198
16-07-21 14:46:58.285,0.7661445, -0.45968673, 8.925584
16-07-21 14:46:58.376,0.7278373, -0.4213795, 8.925584
16-07-21 14:46:58.449,0.7278373, -0.4213795, 8.925584
16-07-21 14:46:58.525,0.7661445, -0.4213795, 9.002198
16-07-21 14:46:58.601,0.7661445, -0.4213795, 8.925584
16-07-21 14:46:58.697,0.7661445, -0.45968673, 8.963891
16-07-21 14:46:58.773,0.7278373, -0.38307226, 8.887277
16-07-21 14:46:58.835,0.7661445, -0.45968673, 8.963891
16-07-21 14:46:58.893,0.7278373, -0.4213795, 8.963891
16-07-21 14:46:58.955,0.80445176, -0.45968673, 8.963891
16-07-21 14:46:59.061,0.7661445, -0.4213795, 8.963891
16-07-21 14:46:59.133,0.7278373, -0.45968673, 8.925584
16-07-21 14:46:59.194,0.7661445, -0.4213795, 9.002198
16-07-21 14:46:59.257,0.7661445, -0.4213795, 8.887277
16-07-21 14:46:59.329,0.80445176, -0.45968673, 8.925584
16-07-21 14:46:59.413,0.7661445, -0.4213795, 8.963891
16-07-21 14:46:59.478,0.7661445, -0.4213795, 9.002198
16-07-21 14:46:59.557,0.7661445, -0.4213795, 8.963891
16-07-21 14:46:59.621,0.80445176, -0.45968673, 8.925584
16-07-21 14:46:59.729,0.7661445, -0.45968673, 8.925584
16-07-21 14:46:59.796,0.7661445, -0.45968673, 9.002198
16-07-21 14:46:59.870,0.7661445, -0.45968673, 8.887277
16-07-21 14:46:59.944,0.7278373, -0.4213795, 8.925584
16-07-21 14:47:00.037,0.7661445, -0.45968673, 8.963891
16-07-21 14:47:00.109,0.7278373, -0.45968673, 8.925584
16-07-21 14:47:00.178,0.7661445, -0.45968673, 8.963891
16-07-21 14:47:00.250,0.7661445, -0.45968673, 8.963891
16-07-21 14:47:00.320,0.7661445, -0.4213795, 8.925584
16-07-21 14:47:00.428,0.842759, -0.45968673, 8.963891
16-07-21 14:47:00.490,0.7278373, -0.45968673, 8.887277
16-07-21 14:47:00.559,0.7278373, -0.4213795, 9.040505
16-07-21 14:47:00.637,0.80445176, -0.49799395, 8.925584
16-07-21 14:47:00.723,0.7661445, -0.4213795, 8.887277
16-07-21 14:47:00.773,0.7661445, -0.4213795, 8.925584
16-07-21 14:47:00.842,0.7661445, -0.4213795, 8.925584
16-07-21 14:47:00.919,0.80445176, -0.49799395, 8.963891
16-07-21 14:47:01.000,0.7661445, -0.4213795, 8.963891
16-07-21 14:47:01.079,0.7661445, -0.45968673, 9.002198
16-07-21 14:47:01.139,0.7661445, -0.45968673, 8.963891
16-07-21 14:47:01.200,0.7278373, -0.49799395, 9.002198
16-07-21 14:47:01.273,0.80445176, -0.45968673, 8.963891
16-07-21 14:47:01.378,0.7661445, -0.49799395, 8.963891
16-07-21 14:47:01.449,0.7661445, -0.4213795, 8.925584
16-07-21 14:47:01.518,0.80445176, -0.45968673, 8.925584
16-07-21 14:47:01.589,0.7278373, -0.4213795, 8.963891
16-07-21 14:47:01.700,0.7278373, -0.4213795, 9.002198
16-07-21 14:47:01.769,0.80445176, -0.45968673, 8.963891
16-07-21 14:47:01.838,0.7661445, -0.4213795, 8.963891
16-07-21 14:47:01.910,0.7661445, -0.4213795, 8.925584
16-07-21 14:47:02.022,0.7278373, -0.45968673, 8.963891
16-07-21 14:47:02.105,0.7278373, -0.4213795, 8.925584
16-07-21 14:47:02.187,0.7278373, -0.45968673, 9.002198
16-07-21 14:47:02.242,0.7661445, -0.4213795, 8.963891
16-07-21 14:47:02.357,0.7661445, -0.45968673, 9.002198
16-07-21 14:47:02.359,0.7278373, -0.45968673, 8.963891
16-07-21 14:47:02.452,0.80445176, -0.45968673, 8.963891
16-07-21 14:47:02.521,0.7278373, -0.4213795, 8.925584
16-07-21 14:47:02.620,0.7661445, -0.4213795, 9.002198
16-07-21 14:47:02.696,0.7661445, -0.4213795, 8.925584
16-07-21 14:47:02.769,0.7278373, -0.45968673, 8.963891
16-07-21 14:47:02.842,0.7661445, -0.45968673, 8.963891
16-07-21 14:47:02.960,0.7661445, -0.4213795, 8.887277
16-07-21 14:47:03.028,0.7661445, -0.45968673, 8.963891
16-07-21 14:47:03.104,0.7661445, -0.4213795, 9.040505
16-07-21 14:47:03.178,0.7661445, -0.49799395, 9.002198
16-07-21 14:47:03.272,0.80445176, -0.4213795, 8.963891
16-07-21 14:47:03.326,0.7661445, -0.4213795, 8.848969
16-07-21 14:47:03.402,0.7661445, -0.4213795, 8.963891
16-07-21 14:47:03.474,0.7278373, -0.4213795, 8.925584
16-07-21 14:47:03.570,0.7278373, -0.4213795, 8.963891
16-07-21 14:47:03.624,0.7278373, -0.38307226, 8.925584
16-07-21 14:47:03.690,0.80445176, -0.4213795, 8.925584
