timestamp,Z [°],Mag Z[°],Gyro Z[°]
00:54:49.778,0,0,0
00:54:49.792,-4.50E-05,0.057006836,-0.0012092947
00:54:49.806,2.66E-04,0.057006836,-0.002055801
00:54:49.820,5.72E-04,0.057006836,-0.0029023073
00:54:49.834,8.71E-04,0.057006836,-0.0037488136
00:54:49.849,0.0018560699,0.094573975,-0.0046557845
00:54:49.863,0.005393057,0.094573975,-0.002938814
00:54:49.877,0.008859305,0.094573975,-0.0012218436
00:54:49.892,0.010581981,0.094573975,-0.0012132872
00:54:49.909,0.0084743295,-0.09527588,-0.0012035901
00:54:49.921,0.0071238093,-0.09527588,-4.64E-04
00:54:49.934,0.0058606723,-0.09527588,3.37E-04
00:54:49.954,0.0015756153,-0.09527588,-0.0019719484
00:54:49.965,-0.0016711816,-0.09527588,-0.003308447
00:54:49.976,-0.0013832455,-0.09527588,-0.0011043365
00:54:49.992,-0.005679515,-0.36019897,0.0018344778
00:54:50.007,-0.015453164,-0.36019897,-9.04E-04
00:54:50.020,-0.02467357,-0.36019897,-0.0032765036
00:54:50.036,-0.03424622,-0.36019897,-0.0061970646
00:54:50.052,-0.03642345,0,-0.009117626
00:54:50.067,-0.031500142,0,-0.0048371786
00:54:50.084,-0.02607604,0,5.48E-05
00:54:50.123,-0.017034285,0.057006836,0.0075854724
00:54:50.135,-0.013393436,0.057006836,0.009789583
00:54:50.144,-0.009288751,0.057006836,0.012541299
00:54:50.160,-0.0031687396,0.057006836,0.017433237
00:54:50.173,-0.009247387,-0.15194702,0.014266824
00:54:50.188,-0.01568186,-0.15194702,0.010613271
00:54:50.206,-0.022465039,-0.15194702,0.0064725773
00:54:50.216,-0.02241669,-0.15194702,0.009164399
00:54:50.233,-0.021170225,-0.15194702,0.0130797755
00:54:50.249,-0.022819782,-0.15194702,0.014065465
00:54:50.269,-0.024134481,-0.15194702,0.015359182
00:54:50.279,-0.026086995,-0.15194702,0.015975237
00:54:50.315,-0.02649112,-0.15194702,0.018131431
00:54:50.327,-0.031146849,-0.15194702,0.01594101
00:54:50.367,-0.03976369,-0.09527588,0.008457074
00:54:50.382,-0.040028702,-0.09527588,0.009319552
00:54:50.396,-0.039330825,-0.09527588,0.011159163
00:54:50.414,-0.039544124,-0.09527588,0.012083246
00:54:50.426,-0.039753154,-0.09527588,0.01300733
00:54:50.438,-0.03888358,-0.09527588,0.015027764
00:54:50.452,-0.037491392,-0.09527588,0.017599227
00:54:50.466,-0.03774148,-0.09527588,0.018523311
00:54:50.481,-0.03798656,-0.09527588,0.019447396
00:54:50.495,-0.038287118,-0.09527588,0.020309873
00:54:50.510,-0.042110156,-0.09527588,0.017571848
