timestamp,Z [°],Mag Z[°],Gyro Z[°]
15:10:17.822,0,0,0
15:10:17.836,-0.037874117,-1.9994354,0.0021577075
15:10:17.849,-0.075730845,-1.9994354,0.0035602173
15:10:17.863,-0.11272471,-1.9994354,0.0050706128
15:10:17.878,-0.14977019,-1.9994354,0.005773366
15:10:17.891,-0.18616658,-1.9994354,0.006382419
15:10:17.905,-0.22261263,-1.9994354,0.0061980146
15:10:17.919,-0.25543064,-1.8530884,0.0059852405
15:10:17.934,-0.2875923,-1.8530884,0.0057724663
15:10:17.948,-0.3190968,-1.8530884,0.005573877
15:10:17.962,-0.34913382,-1.8530884,0.00622978
15:10:17.976,-0.3785701,-1.8530884,0.006885683
15:10:17.990,-0.40825507,-1.8530884,0.006687094
15:10:18.006,-0.43737411,-1.8530884,0.006460135
15:10:18.019,-0.4658691,-1.8530884,0.0062757307
15:10:18.032,-0.4965945,-1.993103,0.0060913265
15:10:18.048,-0.52579,-1.993103,0.00684093
15:10:18.060,-0.5545853,-1.993103,0.0074031325
15:10:18.075,-0.58266693,-1.993103,0.008105886
15:10:18.089,-0.6102329,-1.993103,0.00876179
15:10:18.104,-0.63989323,-1.993103,0.0067179613
15:10:18.121,-0.66931194,-1.9973297,0.004401622
15:10:18.132,-0.69668317,-1.9973297,0.003574201
15:10:18.146,-0.7237281,-1.9973297,0.0025211195
15:10:18.160,-0.74688256,-1.9973297,0.004886007
15:10:18.175,-0.76663935,-1.8506012,0.007250895
15:10:18.189,-0.78935057,-1.8506012,0.0061978134
15:10:18.203,-0.8116076,-1.8506012,0.005144732
15:10:18.217,-0.8343904,-1.8506012,0.0031009035
15:10:18.238,-0.8575685,-1.8530884,2.40E-04
15:10:18.245,-0.8771575,-1.8530884,5.67E-04
15:10:18.261,-0.89594156,-1.8530884,0.0013170985
15:10:18.275,-0.9177913,-1.8530884,-0.0014449672
15:10:18.289,-0.9363049,-1.7081299,-0.0042070327
15:10:18.304,-0.9510527,-1.7081299,-0.0035042795
15:10:18.318,-0.9655515,-1.7081299,-0.0028483765
15:10:18.331,-0.9805838,-1.7081299,-0.0030327807
15:10:18.347,-0.99534327,-1.7081299,-0.0032455549
15:10:18.360,-1.0114684,-1.7081299,-0.0051531284
15:10:18.374,-1.0301205,-1.8506012,-0.007060702
15:10:18.388,-1.0458874,-1.8506012,-0.006404799
15:10:18.402,-1.0613388,-1.8506012,-0.005748896
15:10:18.416,-1.078156,-1.8506012,-0.0068019773
15:10:18.432,-1.0976769,-1.995224,-0.008005499
15:10:18.447,-1.1149851,-1.995224,-0.007349596
15:10:18.461,-1.1319472,-1.995224,-0.006693693
15:10:18.476,-1.1475211,-1.995224,-0.0049675265
15:10:18.490,-1.1601522,-1.8530884,-0.0034571313
15:10:18.503,-1.1726364,-1.8530884,-0.0020546215
15:10:18.517,-1.1847652,-1.8530884,-5.44E-04
15:10:18.538,-1.1984236,-1.8530884,-8.42E-04
15:10:18.546,-1.2116281,-1.8530884,-9.56E-04
15:10:18.565,-1.2247075,-1.8530884,-0.0012109182
15:10:18.574,-1.234515,-1.7081299,-0.0013527676
15:10:18.588,-1.2441819,-1.7081299,-0.0015513567
15:10:18.602,-1.2536415,-1.7081299,-0.001735761
15:10:18.616,-1.2602481,-1.7081299,7.98E-04
15:10:18.631,-1.2697375,-1.8506012,0.0031629344
15:10:18.645,-1.2815633,-1.8506012,0.0029501603
15:10:18.658,-1.2931248,-1.8506012,0.002765756
15:10:18.672,-1.3019568,-1.8506012,0.005130644
