timestamp,Z [°],Mag Z[°],Gyro Z[°]
15:17:15.860,0,0,0
15:17:15.866,0.00199434,0.13742065,9.71E-04
15:17:15.879,0.0020395091,0.13742065,-6.89E-06
15:17:15.893,0.0020096835,0.13742065,-0.0010599743
15:17:15.908,-0.0035465395,0.13742065,-0.0076814396
15:17:15.922,-0.008218766,0.1913147,-0.013861475
15:17:15.937,-0.00148148,0.1913147,-0.008581085
15:17:15.952,0.0052052764,0.1913147,-0.0033006957
15:17:15.967,0.0091159,0.1913147,-7.67E-04
15:17:15.981,0.013719089,0.30992126,0.0015979998
15:17:15.995,0.0072626686,0.30992126,-0.007145512
15:17:16.009,8.55E-04,0.30992126,-0.015889022
15:17:16.023,0.009760236,0.30992126,-0.009251675
15:17:16.037,0.017606923,0.17764282,-0.0026143263
15:17:16.051,0.018610092,0.17764282,-0.0028129155
15:17:16.066,0.01959166,0.17764282,-0.0030256896
15:17:16.081,0.01602256,0.17764282,-0.0078161005
15:17:16.096,0.012797193,0.17764282,-0.012287151
15:17:16.110,0.021091642,0.17764282,-0.005175707
15:17:16.124,0.028802529,0.17086792,0.0014616414
15:17:16.138,0.027126666,0.17086792,-0.0013004243
15:17:16.152,0.025463372,0.17086792,-0.00406249
15:17:16.169,0.023225123,0.17086792,-0.007416427
15:17:16.183,0.021641904,0.17764282,-0.010178493
15:17:16.198,0.029870018,0.17764282,-0.0030670492
15:17:16.212,0.037565883,0.17764282,0.0035702991
15:17:16.226,0.035027027,0.17764282,-4.63E-05
15:17:16.244,0.031481657,0.17764282,-0.0046961196
15:17:16.258,0.031607337,0.17764282,-0.005673981
15:17:16.269,0.03180673,0.17764282,-6.58E-03
15:17:16.285,0.04086727,0.17764282,1.45E-03
15:17:16.298,0.049379893,0.1844635,0.008942191
15:17:16.314,0.047260046,0.1844635,0.005785544
15:17:16.327,0.045743532,0.1844635,0.0032207686
15:17:16.341,0.04743492,0.1844635,0.0038766717
15:17:16.356,0.049160115,0.1844635,0.004579425
15:17:16.369,0.0539294,0.1844635,0.008362306
15:17:16.383,0.06104748,0.4638977,0.012436178
15:17:16.397,0.05793517,0.4638977,0.0062561426
15:17:16.411,0.054846205,0.4638977,7.61E-05
15:17:16.425,0.058565076,0.4638977,7.32E-04
15:17:16.439,0.06115468,0.31704712,0.0013879138
15:17:16.453,0.06202869,0.31704712,3.35E-04
15:17:16.468,0.06289615,0.31704712,-7.18E-04
15:17:16.481,0.06121285,0.31704712,-0.004334807
15:17:16.495,0.058547795,0.1844635,-0.007951365
15:17:16.509,0.06099123,0.1844635,-0.0064409696
15:17:16.524,0.06352341,0.1844635,-0.004822689
15:17:16.539,0.059992947,0.1844635,-0.00929374
15:17:16.552,0.056805924,0.1844635,-1.34E-02
15:17:16.567,0.0575381,0.1844635,-1.37E-02
15:17:16.580,0.060402773,0.4638977,-1.39E-02
15:17:16.595,0.06776111,0.4638977,-0.00949193
15:17:16.609,0.07477545,0.4638977,-0.005418058
15:17:16.622,0.07436082,0.4638977,-0.00877629
15:17:16.636,0.07264509,0.32418823,-0.012392849
15:17:16.651,0.07432048,0.32418823,-1.26E-02
15:17:16.665,0.07599739,0.32418823,-0.012804211
15:17:16.680,0.0785563,0.32418823,-0.012101457
15:17:16.694,0.08104952,0.32418823,-0.011445554
15:17:16.708,0.082675956,0.32418823,-0.011644143
