timestamp, airPressureHectoPascals, ambientTemperatureCelsius, absoluteAltituteMeters
16-07-21 13:07:36.139,1012.02997, 28.0, 10.162186
16-07-21 13:07:36.229,1011.91, 28.0, 11.160965
16-07-21 13:07:36.279,1011.97, 28.0, 10.661575
16-07-21 13:07:36.364,1012.02997, 28.0, 10.162186
16-07-21 13:07:36.447,1012.00995, 28.0, 10.328649
16-07-21 13:07:36.553,1011.97, 28.0, 10.661575
16-07-21 13:07:36.626,1011.97, 28.0, 10.661575
16-07-21 13:07:36.670,1012.02997, 28.0, 10.162186
16-07-21 13:07:36.715,1012.07, 28.0, 9.829259
16-07-21 13:07:36.791,1012.00995, 28.0, 10.328649
16-07-21 13:07:36.866,1012.07, 28.0, 9.829259
16-07-21 13:07:36.944,1011.94995, 28.0, 10.828038
16-07-21 13:07:37.023,1012.00995, 28.0, 10.328649
16-07-21 13:07:37.110,1012.00995, 28.0, 10.328649
16-07-21 13:07:37.168,1012.00995, 28.0, 10.328649
16-07-21 13:07:37.261,1012.02997, 28.0, 10.162186
16-07-21 13:07:37.317,1012.00995, 28.0, 10.328649
16-07-21 13:07:37.411,1011.97, 28.0, 10.661575
16-07-21 13:07:37.461,1012.08997, 28.0, 9.662796
16-07-21 13:07:37.548,1011.97, 28.0, 10.661575
16-07-21 13:07:37.603,1011.94995, 28.0, 10.828038
16-07-21 13:07:37.699,1011.91, 28.0, 11.160965
16-07-21 13:07:37.749,1011.97, 28.0, 10.661575
16-07-21 13:07:37.829,1011.97, 28.0, 10.661575
16-07-21 13:07:37.917,1012.00995, 28.0, 10.328649
16-07-21 13:07:38.023,1012.02997, 28.0, 10.162186
16-07-21 13:07:38.075,1011.94995, 28.0, 10.828038
16-07-21 13:07:38.124,1012.00995, 28.0, 10.328649
16-07-21 13:07:38.213,1012.00995, 28.0, 10.328649
16-07-21 13:07:38.307,1012.00995, 28.0, 10.328649
16-07-21 13:07:38.380,1011.91, 28.0, 11.160965
16-07-21 13:07:38.467,1012.00995, 28.0, 10.328649
16-07-21 13:07:38.530,1011.91, 28.0, 11.160965
16-07-21 13:07:38.582,1011.97, 28.0, 10.661575
