timestamp,rotationsPerMinute
22:14:52.327,0.0
22:14:52.362,0.0
22:14:52.412,0.0
22:14:52.446,0.0
22:14:52.504,0.0
22:14:52.520,0.0
22:14:52.583,0.0
22:14:52.596,0.0
22:14:52.639,0.0
22:14:52.660,0.0
22:14:52.736,0.0
22:14:52.764,0.0
22:14:52.789,0.0
22:14:52.818,0.0
22:14:52.840,0.0
22:14:52.871,0.0
22:14:52.903,0.0
22:14:52.938,0.0
22:14:52.982,0.0
22:14:53.017,0.0
22:14:53.051,0.0
22:14:53.085,0.0
22:14:53.117,0.0
22:14:53.152,0.0
22:14:53.188,0.0
22:14:53.217,0.0
22:14:53.252,0.0
22:14:53.287,0.0
22:14:53.322,0.0
22:14:53.367,0.0
22:14:53.400,0.0
22:14:53.436,0.0
22:14:53.469,0.0
22:14:53.503,0.0
22:14:53.539,0.0
22:14:53.572,0.0
22:14:53.604,0.0
22:14:53.637,0.0
22:14:53.681,0.0
22:14:53.715,0.0
22:14:53.751,0.0
22:14:53.785,0.0
22:14:53.819,0.0
22:14:53.857,0.0
22:14:53.900,0.0
22:14:53.948,0.0
22:14:53.984,0.0
22:14:54.020,0.0
22:14:54.053,0.0
22:14:54.092,0.0
22:14:54.133,0.0
22:14:54.167,0.0
22:14:54.216,0.0
22:14:54.256,0.0
22:14:54.285,0.0
22:14:54.321,0.0
22:14:54.354,0.0
22:14:54.389,0.0
22:14:54.434,0.0
22:14:54.467,0.0
22:14:54.501,0.0
22:14:54.537,0.0
22:14:54.584,0.0
22:14:54.617,0.0
22:14:54.652,0.0
22:14:54.688,0.0
22:14:54.731,0.0
22:14:54.768,0.0
22:14:54.801,0.0
22:14:54.840,0.0
22:14:54.869,0.0
22:14:54.903,0.0
22:14:54.941,0.0
22:14:54.972,0.0
22:14:55.017,0.0
22:14:55.052,0.0
22:14:55.099,0.0
22:14:55.135,0.0
22:14:55.168,0.0
22:14:55.205,0.0
22:14:55.238,0.0
22:14:55.272,0.0
22:14:55.309,0.0
22:14:55.348,0.0
22:14:55.385,0.0
22:14:55.418,0.0
22:14:55.463,0.0
22:14:55.502,0.0
22:14:55.537,0.0
22:14:55.574,0.0
22:14:55.615,0.0
22:14:55.651,0.0
22:14:55.688,0.0
22:14:55.730,0.0
22:14:55.774,0.0
22:14:55.806,0.0
22:14:55.857,0.0
22:14:55.902,0.0
22:14:55.939,0.0
22:14:55.988,0.0
22:14:56.020,0.0
