timestamp,rotationsPerMinute
15:20:18.994,0.0
15:20:19.031,0.0
15:20:19.046,0.0
15:20:19.076,0.0
15:20:19.109,0.0
15:20:19.134,0.0
15:20:19.173,0.0
15:20:19.251,0.0
15:20:19.269,0.0
15:20:19.314,0.0
15:20:19.345,0.0
15:20:19.388,0.0
15:20:19.414,0.0
15:20:19.453,0.0
15:20:19.483,0.0
15:20:19.517,0.0
15:20:19.565,0.0
15:20:19.603,0.0
15:20:19.640,0.0
15:20:19.682,0.0
15:20:19.726,0.0
15:20:19.753,0.0
15:20:19.789,0.0
15:20:19.835,0.0
15:20:19.853,0.0
15:20:19.885,0.0
15:20:19.922,0.0
15:20:19.953,0.0
15:20:19.984,0.0
15:20:20.018,0.0
15:20:20.048,0.0
15:20:20.084,0.0
15:20:20.118,0.0
15:20:20.156,0.0
15:20:20.197,0.0
15:20:20.232,0.0
15:20:20.265,0.0
15:20:20.301,0.0
15:20:20.339,0.0
15:20:20.385,0.0
15:20:20.419,0.0
15:20:20.467,0.0
15:20:20.500,0.0
15:20:20.522,0.0
15:20:20.555,0.0
15:20:20.586,0.0
15:20:20.632,0.0
15:20:20.669,0.0
15:20:20.689,0.0
15:20:20.731,0.0
15:20:20.766,0.0
15:20:20.801,0.0
15:20:20.838,0.0
15:20:20.883,0.0
15:20:20.919,0.0
15:20:20.950,0.0
15:20:20.986,0.0
15:20:21.019,0.0
15:20:21.064,0.0
15:20:21.100,0.0
15:20:21.137,0.0
15:20:21.182,0.0
15:20:21.222,0.0
15:20:21.264,0.0
15:20:21.305,0.0
15:20:21.348,0.0
15:20:21.384,0.0
15:20:21.430,0.0
15:20:21.467,0.0
15:20:21.500,0.0
15:20:21.535,0.0
15:20:21.566,0.0
15:20:21.604,0.0
15:20:21.648,0.0
15:20:21.687,0.0
15:20:21.717,0.0
15:20:21.767,0.0
15:20:21.805,0.0
15:20:21.848,0.0
15:20:21.890,0.0
15:20:21.932,0.0
15:20:21.971,0.0
15:20:22.015,0.0
15:20:22.071,0.0
15:20:22.134,0.0
15:20:22.201,0.0
15:20:22.257,0.0
15:20:22.285,0.0
15:20:22.335,0.0
15:20:22.370,2061.0059
15:20:22.415,2659.1033
15:20:22.466,3011.4434
15:20:22.521,3167.2295
15:20:22.555,3304.6929
15:20:22.600,3428.5713
15:20:22.654,3538.5703
15:20:22.690,3637.2454
15:20:22.739,3727.6343
15:20:22.800,3810.0078
15:20:22.919,3886.0103
15:20:22.985,3956.7397
15:20:23.101,4023.6055
15:20:23.154,4083.8552
15:20:23.220,4194.631
15:20:23.264,4246.8857
15:20:23.302,4345.307
15:20:23.386,4431.315
15:20:23.466,4508.566
15:20:23.514,4546.8325
15:20:23.649,4706.6206
15:20:23.688,4810.7764
15:20:23.821,4991.68
15:20:23.917,5129.9595
15:20:24.014,5244.7554
15:20:24.052,5345.6875
15:20:24.170,5360.9727
15:20:24.313,5411.2554
15:20:24.354,5446.623
15:20:24.470,5472.455
15:20:24.513,5500.5503
15:20:24.547,5506.6074
15:20:24.598,5514.706
15:20:24.633,5524.862
15:20:24.681,5528.935
15:20:24.732,5537.0986
15:20:24.782,5543.2373
15:20:24.818,5545.2866
15:20:24.872,5555.5557
15:20:24.914,5555.5557
15:20:24.963,5561.7354
15:20:25.012,5563.798
15:20:25.050,5569.996
15:20:25.100,5574.136
15:20:25.148,5576.2085
15:20:25.189,5576.2085
15:20:25.235,5578.282
15:20:25.282,5582.434
15:20:25.333,5584.512
15:20:25.380,5584.512
15:20:25.420,5588.674
15:20:25.465,5590.7563
15:20:25.505,5592.8413
15:20:25.554,5594.9272
15:20:25.603,5594.9272
15:20:25.647,5592.8413
15:20:25.697,5594.9272
15:20:25.735,5597.015
15:20:25.786,5599.1045
15:20:25.853,5597.015
15:20:25.898,5601.195
15:20:25.945,5603.287
15:20:25.998,5601.195
15:20:26.039,5603.287
15:20:26.086,5603.287
15:20:26.132,5607.4766
15:20:26.185,5609.573
15:20:26.231,5609.573
15:20:26.280,5611.6724
15:20:26.320,5611.6724
15:20:26.366,5613.7725
15:20:26.556,5611.6724
15:20:26.586,5609.573
15:20:26.723,5611.6724
15:20:26.767,5611.6724
15:20:26.803,5613.7725
15:20:26.854,5613.7725
15:20:26.905,5611.6724
15:20:26.954,5613.7725
15:20:26.998,5613.7725
15:20:27.050,5615.874
15:20:27.099,5615.874
15:20:27.301,5617.9775
15:20:27.573,5620.082
15:20:28.586,5617.9775
15:20:28.664,5617.9775
15:20:28.695,5611.6724
15:20:28.719,5611.6724
15:20:28.746,5611.6724
15:20:28.769,5611.6724
15:20:28.796,5613.7725
15:20:28.831,5611.6724
15:20:28.850,5611.6724
15:20:28.881,5611.6724
15:20:28.905,5611.6724
15:20:28.931,5611.6724
15:20:28.963,5611.6724
15:20:28.988,5611.6724
15:20:29.018,5613.7725
15:20:29.049,5613.7725
