X[µT],Y[µT]
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.021997
10.672,-21.021997
10.672,-21.021997
10.672,-21.021997
10.672,-21.021997
10.672,-21.206
10.672,-21.206
10.672,-21.206
10.672,-21.206
10.488,-20.929998
10.488,-20.929998
10.488,-20.929998
10.488,-20.929998
10.488,-20.929998
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.488,-21.482
10.488,-21.482
10.488,-21.482
10.488,-21.482
10.304,-21.665998
10.304,-21.665998
10.304,-21.665998
10.304,-21.665998
10.304,-21.665998
10.304,-21.665998
10.212,-21.665998
10.212,-21.665998
10.212,-21.665998
10.212,-21.665998
10.488,-20.929998
10.488,-20.929998
10.488,-20.929998
10.488,-20.929998
10.304,-21.482
10.304,-21.482
10.304,-21.482
10.304,-21.482
10.304,-21.482
10.304,-21.482
10.304,-21.757998
10.304,-21.757998
10.304,-21.757998
10.304,-21.757998
10.304,-21.757998
10.396,-21.482
10.396,-21.482
10.396,-21.482
10.58,-20.929998
10.58,-20.929998
10.58,-20.929998
10.58,-20.929998
10.58,-20.929998
10.58,-20.929998
10.396,-21.482
10.396,-21.482
10.396,-21.482
10.396,-21.482
10.304,-21.85
10.304,-21.85
10.304,-21.85
10.304,-21.85
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.021997
10.488,-21.021997
10.488,-21.021997
10.488,-21.021997
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.672,-21.206
10.672,-21.206
10.672,-21.206
10.672,-21.206
10.672,-21.206
10.672,-21.206
10.488,-21.021997
10.488,-21.021997
10.488,-21.021997
10.488,-21.021997
10.488,-21.021997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.488,-21.482
10.488,-21.482
10.488,-21.482
10.488,-21.482
10.488,-21.482
10.212,-21.482
10.212,-21.482
10.212,-21.482
10.212,-21.482
10.212,-21.482
10.212,-21.482
10.212,-21.482
10.212,-21.482
10.304,-21.757998
10.304,-21.757998
10.304,-21.757998
10.304,-21.757998
10.304,-21.757998
10.304,-21.757998
10.58,-21.390001
10.58,-21.390001
10.58,-21.390001
10.58,-21.390001
10.488,-20.746
10.488,-20.746
10.488,-20.746
10.488,-20.746
10.488,-21.206
10.488,-21.206
10.488,-21.206
10.488,-21.206
10.488,-21.206
10.488,-21.206
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.672,-21.021997
10.672,-21.021997
10.672,-21.021997
10.672,-21.021997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.396,-21.021997
10.396,-21.021997
10.396,-21.021997
10.396,-21.021997
10.488,-20.929998
10.488,-20.929998
10.488,-20.929998
10.488,-20.929998
10.58,-20.929998
10.58,-20.929998
10.58,-20.929998
10.58,-20.929998
10.58,-20.929998
10.58,-20.929998
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.58,-21.206
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.488,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.58,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.672,-21.113997
10.58,-21.021997
10.58,-21.021997
10.58,-21.021997
