[16-07-21_15:20:23.171][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.836, 104.96162
[16-07-21_15:20:23.250][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.836, 105.151436
[16-07-21_15:20:23.321][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.836, 105.151436
[16-07-21_15:20:23.401][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.744, 104.96162
[16-07-21_15:20:23.465][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.836, 104.81763
[16-07-21_15:20:23.534][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.836, 104.96162
[16-07-21_15:20:23.613][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.928001, 105.151436
[16-07-21_15:20:23.679][[µT]X, Y, Z, Direção]-13.247999, 17.572, 16.836, 104.77083
[16-07-21_15:20:23.748][[µT]X, Y, Z, Direção]-13.340001, 17.480001, 16.836, 105.10657
[16-07-21_15:20:23.829][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.836, 104.96162
[16-07-21_15:20:23.891][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.836, 105.151436
[16-07-21_15:20:24.006][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.836, 104.96162
[16-07-21_15:20:24.064][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.836, 104.96162
[16-07-21_15:20:24.134][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.652, 104.96162
[16-07-21_15:20:24.201][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.836, 105.151436
[16-07-21_15:20:24.282][[µT]X, Y, Z, Direção]-13.247999, 17.572, 16.652, 104.77083
[16-07-21_15:20:24.351][[µT]X, Y, Z, Direção]-13.247999, 17.480001, 16.836, 104.91551
[16-07-21_15:20:24.433][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.744, 104.81763
[16-07-21_15:20:24.505][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.744, 104.96162
[16-07-21_15:20:24.576][[µT]X, Y, Z, Direção]-13.340001, 17.480001, 16.836, 105.10657
[16-07-21_15:20:24.648][[µT]X, Y, Z, Direção]-13.247999, 17.572, 16.836, 104.77083
[16-07-21_15:20:24.721][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.652, 104.96162
[16-07-21_15:20:24.800][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.744, 104.96162
[16-07-21_15:20:24.900][[µT]X, Y, Z, Direção]-13.340001, 17.480001, 16.836, 105.10657
[16-07-21_15:20:24.954][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.744, 104.96162
[16-07-21_15:20:25.011][[µT]X, Y, Z, Direção]-13.432, 17.480001, 16.836, 105.296646
[16-07-21_15:20:25.083][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.744, 104.96162
[16-07-21_15:20:25.164][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.836, 104.96162
[16-07-21_15:20:25.233][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.836, 105.151436
[16-07-21_15:20:25.301][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.836, 105.151436
[16-07-21_15:20:25.369][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.652, 104.96162
[16-07-21_15:20:25.444][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.836, 105.151436
[16-07-21_15:20:25.525][[µT]X, Y, Z, Direção]-13.247999, 17.572, 16.744, 104.77083
[16-07-21_15:20:25.598][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.652, 105.151436
[16-07-21_15:20:25.681][[µT]X, Y, Z, Direção]-13.247999, 17.572, 16.836, 104.77083
[16-07-21_15:20:25.738][[µT]X, Y, Z, Direção]-13.247999, 17.480001, 16.836, 104.91551
[16-07-21_15:20:25.811][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.836, 105.151436
[16-07-21_15:20:25.894][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.836, 105.151436
[16-07-21_15:20:25.968][[µT]X, Y, Z, Direção]-13.340001, 17.480001, 16.836, 105.10657
[16-07-21_15:20:26.027][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.928001, 105.151436
[16-07-21_15:20:26.101][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.744, 105.151436
[16-07-21_15:20:26.176][[µT]X, Y, Z, Direção]-13.340001, 17.480001, 16.836, 105.10657
[16-07-21_15:20:26.248][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.836, 104.81763
[16-07-21_15:20:26.324][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.836, 105.151436
[16-07-21_15:20:26.450][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.744, 104.96162
[16-07-21_15:20:26.520][[µT]X, Y, Z, Direção]-13.340001, 17.480001, 16.836, 105.10657
[16-07-21_15:20:26.594][[µT]X, Y, Z, Direção]-13.247999, 17.664, 16.744, 104.62711
[16-07-21_15:20:26.662][[µT]X, Y, Z, Direção]-13.340001, 17.480001, 16.744, 105.10657
[16-07-21_15:20:26.732][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.744, 104.81763
[16-07-21_15:20:26.807][[µT]X, Y, Z, Direção]-13.432, 17.664, 16.744, 105.00718
[16-07-21_15:20:26.879][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.652, 105.151436
[16-07-21_15:20:26.952][[µT]X, Y, Z, Direção]-13.340001, 17.480001, 16.744, 105.10657
[16-07-21_15:20:27.022][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.744, 104.96162
[16-07-21_15:20:27.118][[µT]X, Y, Z, Direção]-13.247999, 17.572, 16.836, 104.77083
[16-07-21_15:20:27.202][[µT]X, Y, Z, Direção]-13.524, 17.480001, 16.744, 105.48577
[16-07-21_15:20:27.265][[µT]X, Y, Z, Direção]-13.340001, 17.480001, 16.744, 105.10657
[16-07-21_15:20:27.333][[µT]X, Y, Z, Direção]-13.340001, 17.480001, 16.744, 105.10657
[16-07-21_15:20:27.408][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.744, 104.96162
[16-07-21_15:20:27.482][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.836, 104.96162
[16-07-21_15:20:27.547][[µT]X, Y, Z, Direção]-13.432, 17.388, 16.744, 105.442825
[16-07-21_15:20:27.625][[µT]X, Y, Z, Direção]-13.432, 17.664, 16.744, 105.00718
[16-07-21_15:20:27.706][[µT]X, Y, Z, Direção]-13.432, 17.480001, 16.744, 105.296646
[16-07-21_15:20:27.783][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.744, 105.151436
[16-07-21_15:20:27.853][[µT]X, Y, Z, Direção]-13.432, 17.480001, 16.928001, 105.296646
[16-07-21_15:20:27.918][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.652, 104.81763
[16-07-21_15:20:27.991][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.744, 105.151436
[16-07-21_15:20:28.062][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.744, 105.151436
[16-07-21_15:20:28.159][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.836, 104.81763
[16-07-21_15:20:28.219][[µT]X, Y, Z, Direção]-13.432, 17.664, 16.836, 105.00718
[16-07-21_15:20:28.295][[µT]X, Y, Z, Direção]-13.432, 17.664, 16.652, 105.00718
[16-07-21_15:20:28.375][[µT]X, Y, Z, Direção]-13.432, 17.480001, 16.836, 105.296646
[16-07-21_15:20:28.454][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.744, 104.81763
[16-07-21_15:20:28.558][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.836, 104.81763
[16-07-21_15:20:28.570][[µT]X, Y, Z, Direção]-13.432, 17.664, 16.836, 105.00718
[16-07-21_15:20:28.669][[µT]X, Y, Z, Direção]-13.247999, 17.572, 16.744, 104.77083
[16-07-21_15:20:28.738][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.744, 105.151436
[16-07-21_15:20:28.801][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.744, 105.151436
